Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
221,Asteroids,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
222,Fable II,PS4,2016,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77
223,Halo 5: Guardians,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76
224,Super Mario 3D World,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73
225,Batman: Arkham Asylum,PS2,2003,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7
226,Assassin's Creed: Revelations,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
227,Namco Museum,Wii,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
228,Metal Gear Solid 3: Snake Eater,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
229,Daxter,X360,2011,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64
230,Warcraft II: Tides of Darkness,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
231,FIFA Soccer 06,Wii,2007,Misc,Activision,3.06,1.12,0,0.44,4.62
232,EyeToy Play,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
233,Uncharted 4: A Thief's End,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
234,Gran Turismo 5 Prologue,Wii,2009,Sports,Sega,1.89,1.99,0.22,0.48,4.58
235,Street Fighter IV,3DS,2013,Action,Nintendo,1.78,1.39,1.1,0.3,4.58
236,Teenage Mutant Ninja Turtles,WiiU,2015,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
237,Excitebike,PS4,2014,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55
238,Frogger,X360,2007,Misc,Activision,3.19,0.92,0.01,0.42,4.53
239,Madden NFL 2003,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
240,Watch Dogs,2600,1981,Platform,Activision,4.21,0.24,0,0.05,4.5
241,Half-Life,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
242,Super Mario World 2: Yoshi's Island,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
243,FIFA Soccer 07,PS,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47
244,The Legend of Zelda: Skyward Sword,PS4,2015,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47
245,Street Fighter II Turbo,PS3,2014,Shooter,Activision,1.54,1.94,0.19,0.77,4.45
246,Carnival Games,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
247,World of Warcraft: The Burning Crusade,WiiU,2012,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44
248,Fallout: New Vegas,Wii,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
249,God of War II,PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41
250,Forza Motorsport 2,PS2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
251,World Soccer Winning Eleven 9,X360,2006,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
252,Namco Museum Vol.3,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
253,Tekken Tag Tournament,PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
254,Far Cry 4,PS3,2006,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
255,Star Fox 64,GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34
256,Golf,PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33
257,Professor Layton and the Diabolical Box,X360,2013,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31
258,Left 4 Dead 2,X360,2014,Shooter,Activision,2.75,1.18,0,0.37,4.31
259,Namco Museum: 50th Anniversary,2600,1980,Shooter,Atari,4,0.26,0,0.05,4.31
260,EA Sports Active,X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31
261,Assassin's Creed: Unity,XOne,2015,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26
262,Donkey Kong Land,WiiU,2013,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25
263,Tony Hawk's Underground,PS3,2009,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
264,Assassin's Creed IV: Black Flag,PS3,2011,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24
265,Monster Hunter 4 Ultimate,GBA,2001,Misc,Namco Bandai Games,3,1.11,0.05,0.07,4.24
266,MotorStorm,PS2,2004,Action,Konami Digital Entertainment,1.46,0,0.83,1.93,4.23
