Rank,Name,Genre,ESRB_Rating,Platform,Developer,Publisher,Critic_Score,User_Score,Year
23,Super Mario Land,Misc,E,PC,DMA Design,Unknown,8,7.4,2004
24,Mario Kart 7,Platform,E,GB,Nintendo,Nintendo,8,9.1,1989
25,Pokemon Diamond / Pearl Version,Racing,E,3DS,Mojang,Nintendo,8.2,9.1,2011
26,Grand Theft Auto: San Andreas,Role-Playing,E,DS,Nintendo EAD Tokyo,Nintendo,8.6,8,2007
27,Super Mario Bros. 3,Action,M,PS2,Bandai Namco Games,Rockstar Games,9.5,8,2004
28,Pokemon X/Y,Platform,E,NES,Blizzard Entertainment,Nintendo,8,8,1990
29,Pokemon Ruby / Sapphire Version,Role-Playing,E,3DS,EA Vancouver,Nintendo,8.9,9.7,2013
30,Grand Theft Auto: Vice City,Role-Playing,E,GBA,Re-Logic,Nintendo,8.8,7.4,2003
31,Pokemon Sun/Moon,Action,M,PS2,EA Canada,Rockstar Games,9.6,9.1,2002
32,Pokemon Black / White Version,Role-Playing,E,3DS,Ubisoft Paris,Nintendo,9,7.4,2016
33,Call of Duty: Black Ops 3,Action,M,X360,Guerrilla Games,Rockstar Games,8,9.1,2013
34,Mario Kart 8 Deluxe,Role-Playing,E,DS,Frontier Developments,Nintendo,8.6,9,2011
35,Counter-Strike: Source,Shooter,M,PS4,Bungie,Activision,8,7.4,2015
36,Sonic the Hedgehog,Racing,E,NS,343 Industries,Nintendo,9.3,9.1,2017
37,Gran Turismo 3: A-Spec,Shooter,M,PC,SquareSoft,VU Games,9.3,8,2004
38,Brain Age 2: More Training in Minutes a Day,Platform,E,GEN,"Nd Cube Co., Ltd.",Sega,8,7.4,1991
39,Call of Duty: Modern Warfare 3,Racing,E,PS2,Hudson Soft,Sony Computer Entertainment,9.3,9.1,2001
40,Call of Duty: Black Ops,Misc,E,DS,Rare Ltd.,Nintendo,8,7.4,2007
41,Pokemon Yellow: Special Pikachu Edition,Shooter,M,X360,EA Sports,Activision,8.7,9.1,2011
42,Halo 3,Shooter,M,X360,Facepunch Studios,Activision,8.8,8,2010
43,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,E,GB,Insomniac Games,Nintendo,8.7,8,1999
44,Red Dead Redemption 2,Shooter,M,X360,Bethesda Game Studios,Microsoft Game Studios,9.6,9.5,2007
45,Call of Duty: Black Ops II,Role-Playing,E,3DS,Naughty Dog,Nintendo,8,8,2014
46,Super Mario Odyssey,Action-Adventure,M,PS4,Namco,Rockstar Games,9.8,7.4,2018
47,Call of Duty: Modern Warfare 2,Shooter,M,X360,EA DICE,Activision,8,9.1,2012
48,Call of Duty: WWII,Shooter,M,PS3,EA Redwood Shores,Activision,8,8,2012
49,Super Smash Bros. Brawl,Platform,E10,NS,Rockstar Leeds,Nintendo,9.9,8,2017
50,Grand Theft Auto III,Shooter,M,X360,Atari,Activision,9.5,9,2009
51,New Super Mario Bros. 2,Shooter,M,PS4,HAL Laboratory,Activision,8,8,2017
52,Portal 2,Shooter,M,PS3,Dice,Activision,8.8,8,2011
53,Super Mario Galaxy,Fighting,T,Wii,EA Black Box,Nintendo,9.2,9.7,2008
54,Pokemon Heart Gold / Soul Silver Version,Action,M,PS2,Edmund McMillen,Rockstar Games,9.5,8,2001
55,Super Mario 3D Land,Platform,E,3DS,Level 5,Nintendo,7.5,8.8,2012
56,Animal Crossing: New Leaf,Shooter,E10,PC,Ubisoft,Valve,9.7,5.4,2011
57,Super Smash Bros. Ultimate,Misc,E10,X360,EA Los Angeles,Microsoft Studios,8,8.1,2013
58,Diablo III,Platform,E,Wii,"Pipeworks Software, Inc.",Nintendo,9.7,9.6,2007
59,Pokemon FireRed / LeafGreen Version,Role-Playing,E,DS,Rockstar San Diego,Nintendo,8.6,8,2010
60,Gran Turismo 5,Shooter,M,PS3,Retro Studios,Activision,8.7,8.9,2010
61,Super Mario 64,Action,M,PC,Ubisoft Montreal,Rockstar Games,8,9.2,2015
62,FIFA 18,Platform,E,3DS,ArenaNet,Nintendo,8.9,7.4,2011
63,Gran Turismo 4,Simulation,E,3DS,Square Enix,Nintendo,8.6,9.1,2013
64,Animal Crossing: Wild World,Fighting,E10,NS,Capcom,Nintendo,9.4,9.7,2018
65,The Legend of Zelda: Breath of the Wild,Role-Playing,M,PC,Reflections Interactive,Blizzard Entertainment,9,8,2012
66,Super Mario Land 2: 6 Golden Coins,Role-Playing,E,GBA,SIE Santa Monica Studio,Nintendo,8.3,8,2004
67,Grand Theft Auto IV,Racing,E,PS3,Konami Computer Entertainment Japan,Sony Computer Entertainment,8.3,8.9,2010
68,Super Mario 64 DS,Platform,E,N64,Cyan Worlds,Nintendo,9.7,9.2,1996
69,Terraria,Sports,E,PS4,Kojima Productions,EA Sports,8.3,7.4,2017
70,FIFA 17,Racing,E,PS2,SCS Software,Sony Computer Entertainment,8.7,9.1,2005
71,Gran Turismo,Simulation,E,DS,Intelligent Systems,Nintendo,8.5,8,2005
72,Super Mario All-Stars,Action-Adventure,E10,NS,Media Molecule,Nintendo,9.9,10,2017
73,Call of Duty: Ghosts,Platform,E,GB,Hidden Path Entertainment,Nintendo,9,8,1992
74,Just Dance 3,Action,M,X360,Next Level Games,Rockstar Games,10,8,2008
75,Horizon: Zero Dawn,Platform,E,DS,Bluepoint Games,Nintendo,8.6,8.9,2004
76,"Pokemon: Let's Go, Pikachu/Eevee",Platform,T,PC,Traveller's Tales,Unknown,8.8,9.2,2011
77,RollerCoaster Tycoon 3,Sports,E,PS4,Office Create,Electronic Arts,8.9,7.4,2016
78,Halo: Reach,Racing,E,PS,GREZZO,Sony Computer Entertainment,9.5,9.1,1998
79,Portal,Shooter,M,PS3,Rocksteady Studios,Activision,9.5,8,2009
80,Halo 4,Action,M,PS3,Turn 10 Studios,Rockstar Games,10,9,2008
81,Final Fantasy VII,Platform,E,SNES,Crystal Dynamics,Nintendo,8,9.5,1993
82,Mario Kart 64,Shooter,M,X360,CD Projekt Red Studio,Activision,6.9,8,2013
83,StarCraft,Misc,E10,Wii,Jupiter Corporation,Ubisoft,7.5,8,2011
84,Super Smash Bros. for 3DS,Shooter,M,PS3,Unknown,Activision,7.5,8,2013
85,Call of Duty 4: Modern Warfare,Action,T,PS4,Core Design Ltd.,Sony Interactive Entertainment,9.1,8,2017
86,Gran Turismo 2,Role-Playing,E,NS,EA Tiburon,Nintendo,8,8.9,2018
87,Wii Party,Strategy,E,PC,Obsidian Entertainment,Atari,8.3,9.2,2004
88,Call of Duty: Black Ops IIII,Shooter,M,X360,SCEA Santa Monica Studio,Microsoft Game Studios,9.3,7.4,2010
89,Mario Party DS,Shooter,T,PC,Microsoft,Valve Corporation,9,9.1,2008
90,Donkey Kong Country,Shooter,M,X360,Harmonix Music Systems,Microsoft Studios,8,8,2012
91,FIFA 19,Role-Playing,T,PS,Lionhead Studios,Sony Computer Entertainment,9.6,9.5,1997
92,Rust,Racing,E,N64,Sega,Nintendo,8.5,8,1997
93,Marvel's Spider-Man,Strategy,T,PC,Neversoft Entertainment,Blizzard Entertainment,8.7,8,1998
94,Half-Life 2,Fighting,E10,3DS,Pumpkin Studios,Nintendo,8.4,8,2014
95,The Elder Scrolls V: Skyrim,Shooter,M,X360,Colossal Order,Activision,9.6,9,2007
96,Mario Party 8,Racing,E,PS,Epic Games,Sony Computer Entertainment,9.2,8,1999
97,Super Mario Kart,Misc,E,Wii,BudCat Creations,Nintendo,7,8.9,2010
98,Uncharted 4: A Thief's End,Shooter,M,PS4,ConcernedApe,Activision,8,9.2,2018
99,Final Fantasy VIII,Misc,E,DS,Level 5 / Armor Project,Nintendo,7.1,7.4,2007
100,Final Fantasy X,Platform,E,SNES,ChunSoft,Nintendo,9,9.1,1994
101,Pokemon Black 2 and White 2,Sports,E,PS4,Vicarious Visions,Electronic Arts,8,8,2018
102,Call of Duty: Infinite Warfare,Action-Adventure,E,PC,Radical Entertainment,Facepunch Studios,6.1,8,2018
103,Fallout 4,Action-Adventure,T,PS4,Stormfront Studios,Sony Interactive Entertainment,9.1,8.9,2018
104,Mario Kart 8,Shooter,M,PC,Turn 10 Studio,VU Games,9.7,10,2004
105,Tekken 3,Role-Playing,M,X360,Irrational Games,Bethesda Softworks,9.3,8,2011
106,Pokemon: Ultra Sun and Ultra Moon,Misc,E,Wii,AlphaDream Corporation,Nintendo,6.5,8,2007
107,Splatoon 2,Racing,E,SNES,Neversoft,Nintendo,10,8,1992
108,FIFA 16,Action,M,XOne,Techland,Rockstar Games,9,9,2014
109,GoldenEye 007,Action,T,PS4,Bohemia Interactive,Sony Interactive Entertainment,9.2,8.9,2016
110,Star Wars Battlefront (2015),Role-Playing,T,PS,Studio Wildcard,Square EA,9.4,10,1999
111,FIFA 13,Role-Playing,T,PS2,Activision,Square,9,10,2001
112,Halo 2,Role-Playing,E,DS,Bethesda Softworks,Nintendo,8,8.3,2012
113,The Sims 3,Shooter,M,PS4,Konami Computer Entertainment Tokyo,Activision,8,8,2016
114,Grand Theft Auto: Liberty City Stories,Role-Playing,M,PS4,Ubisoft Montpellier,Bethesda Softworks,8.6,8.9,2015
115,Pac-Man,Racing,E,WiiU,Massive Entertainment,Nintendo,8.8,10,2014
116,Pokemon Platinum Version,Fighting,T,PS,High Moon Studios,Namco,9.6,8,1998
117,The Legend of Zelda: Ocarina of Time,Role-Playing,E,3DS,Heart Beat,Nintendo,8.1,8.9,2017
118,Crash Bandicoot 2: Cortex Strikes Back,Shooter,E10,NS,Mass Media,Nintendo,8.2,9.2,2017
119,Call of Duty: Advanced Warfare,Sports,E,PS4,Ready at Dawn,EA Sports,8.5,7.4,2015
120,Call of Duty: World at War,Shooter,T,N64,KCEJ / Kojima Productions,Nintendo,9.8,9.1,1997
121,Super Mario Bros. 2,Shooter,T,PS4,Capcom / Dimps Corporation,Electronic Arts,7.1,8,2015
122,Super Mario Galaxy 2,Sports,E,PS3,The Fun Pimps,EA Sports,8,8,2012
123,Super Smash Bros. Melee,Shooter,M,XB,Konami,Microsoft Game Studios,9.6,8.9,2004
124,Battlefield 3,Simulation,T,PC,Avalanche Studios,Electronic Arts,8.5,10,2009
125,The Legend of Zelda: Twilight Princess,Action,M,PSP,Millenium Interactive,Rockstar Games,8.8,8,2005
126,Battlefield 1,Puzzle,E,2600,Team Fusion,Atari,8,8,1982
127,Need for Speed Underground,Role-Playing,E,DS,Maxis,Nintendo,8.3,8.9,2009
128,The Binding of Isaac,Adventure,E,N64,Cat Daddy Games,Nintendo,9.9,10,1998
129,Crash Bandicoot 3: Warped,Platform,E,PS,Blizzard North,Sony Computer Entertainment,8.6,8,1997
130,Pokemon Emerald Version,Shooter,M,PS4,Virgin Interactive,Activision,8.5,8,2014
131,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Shooter,M,X360,SCEE London Studio,Activision,8.5,7.8,2008
132,Need for Speed Underground 2,Platform,E,NES,Digital Eclipse,Nintendo,8,8,1988
133,Just Dance 4,Platform,E,Wii,Visual Concepts,Nintendo,9.7,9.8,2010
134,Mario Kart: Double Dash!!,Fighting,T,GC,Certain Affinity / Valve Software,Nintendo,9.2,8,2001
135,Uncharted 3: Drake's Deception,Shooter,M,XOne,Plato,Activision,8,8,2015
136,Medal of Honor: Frontline,Shooter,M,X360,SCE San Diego Studio,Electronic Arts,8.5,8,2011
137,Crash Bandicoot,Adventure,T,Wii,Evolution Studios,Nintendo,9.5,9.6,2006
138,Zumba Fitness,Shooter,M,PS4,Capcom Production Studio 1,Electronic Arts,8,8,2016
139,Uncharted 2: Among Thieves,Shooter,M,PS3,Nintendo SPD Group No.1,Electronic Arts,8.5,8.9,2011
140,FIFA Soccer 12,Racing,E,PS2,High Impact Games,Electronic Arts,8.6,10,2003
141,FIFA 14,Action,E,PC,Argonaut Games,Edmund McMillen,8.3,8,2011
142,Red Dead Redemption,Platform,E,PS,Zipper Interactive,Sony Computer Entertainment,9.3,8,1998
143,Donkey Kong Country Returns,Role-Playing,E,GBA,The Coalition,Nintendo,7.7,8.8,2005
144,The Legend of Zelda,Role-Playing,E10,3DS,Pandemic Studios,Nintendo,8,5.4,2016
145,Assassin's Creed III,Racing,E,PS2,id Software,Electronic Arts,8.3,8.1,2004
146,Guild Wars,Music,E10,Wii,The Behemoth,Ubisoft,8,8,2012
147,Final Fantasy XII,Racing,E,GC,Ubisoft Quebec,Nintendo,8.5,8,2003
148,Tomodachi Life,Action,T,PS3,Toby Fox,Sony Computer Entertainment,9.3,6.3,2011
149,Pokemon Crystal Version,Shooter,T,PS2,Yuke's,Electronic Arts,9,8,2002
150,Halo 3: ODST,Platform,E,PS,Team Soho,Sony Computer Entertainment,7.8,8,1996
151,FIFA 15,Sports,E,Wii,Avalanche Software,Majesco,8,8,2010
152,Kingdom Hearts,Action,T,PS3,Irem Software Engineering,Sony Computer Entertainment,9.5,9.6,2009
153,Street Fighter II: The World Warrior,Shooter,M,PS3,NetherRealm Studios,Activision,9.5,9.6,2007
154,The Last of Us,Sports,E,PS3,EA Digital Illusions CE,EA Sports,9.2,8,2011
155,Driver,Sports,E,PS3,Gearbox Software,EA Sports,8,8,2013
156,God of War (2018),Action,M,PS3,Dimps Corporation,Rockstar Games,9.5,8.8,2011
157,Big Brain Academy,Platform,E,Wii,Eurocom Entertainment Software,Nintendo,8.6,5.4,2010
158,Metal Gear Solid 2: Sons of Liberty,Adventure,E,NES,8ing/Raizing,Nintendo,8,8.1,1987
159,Metal Gear Solid,Action-Adventure,M,PS3,Iguana Entertainment,Ubisoft,8.8,8,2012
160,Myst,Role-Playing,T,PC,Artoon,NCSoft,8.7,8,2005
161,Sonic the Hedgehog 2,Action,M,X360,n-Space,Rockstar Games,9.5,10,2010
162,Metal Gear Solid 4: Guns of the Patriots,Role-Playing,M,PS3,The Collective,Bethesda Softworks,9,8,2011
163,Euro Truck Simulator 2,Role-Playing,T,PS2,Remedy Entertainment,Square Enix,9.4,9.5,2006
164,Mario Kart: Super Circuit,Simulation,E,3DS,From Software,Nintendo,7.8,8,2014
165,Super Mario Sunshine,Role-Playing,E,GBC,"Hypnos Entertainment, Inc.",Nintendo,8.7,8,2001
166,LittleBigPlanet,Shooter,M,X360,Valve Corporation,Microsoft Game Studios,8.7,8.8,2009
167,Age of Empires II: HD Edition,Misc,E10,PS4,Luxoflux,Sony Computer Entertainment,9.4,5.4,2014
168,Super Mario 3D World,Sports,E,PS4,Black Ops Entertainment,EA Sports,8.1,8.1,2014
169,Link's Crossbow Training,Role-Playing,E,PS2,Team Bondi,Square EA,8.5,8,2002
170,New Super Mario Bros. U,Fighting,E,SNES,Monolith Productions,Capcom,8,8,1992
171,Destiny,Action-Adventure,M,PS3,Shiny Entertainment,Sony Computer Entertainment America,9.5,8,2013
172,Luigi's Mansion: Dark Moon,Action,T,PS,1st Playable Productions,GT Interactive,8.5,8.8,1999
173,Tekken 2,Shooter,M,XOne,4J Studios,Activision,8,5.4,2017
174,Uncharted: The Nathan Drake Collection,Action,M,PS4,LucasArts,Sony Interactive Entertainment,9.7,8.1,2018
175,Super Mario World: Super Mario Advance 2,Misc,E,DS,Namco Bandai Games,Nintendo,7.7,8,2006
176,LEGO Star Wars: The Complete Saga,Misc,E10,PS3,Respawn Entertainment,Sony Computer Entertainment America,8,8,2014
177,Cooking Mama,Action,M,PS2,BioWare Edmonton,Konami,9.5,7,2001
178,The Legend of Zelda: Ocarina of Time 3D,Action,M,PS,Bandai,Konami,9.3,8,1998
179,Super Mario Advance,Adventure,E,PC,Volition Inc.,Broderbund,8.9,8,1995
180,Assassin's Creed II,Platform,E,GEN,Quantic Dream,Sega,8,8,1992
181,Super Smash Bros.,Action,M,PS3,BioWare,Konami,9.3,9.8,2008
182,Assassin's Creed,Simulation,E,PC,Nintendo IRD,SCS Software,8.5,8,2013
183,Batman: Arkham City,Racing,E,GBA,Yuke's Future Media Creators,Nintendo,9.3,8,2001
184,Forza Motorsport 3,Platform,E,GC,Junction Point Studios,Nintendo,9.2,8,2002
185,Dragon Quest IX: Sentinels of the Starry Skies,Platform,E,PS3,Crytek,Sony Computer Entertainment,9.4,9.2,2008
186,Final Fantasy IX,Strategy,E,PC,Big Blue Box,Microsoft Studios,8,8,2013
187,Final Fantasy X-2,Platform,E,WiiU,Sucker Punch Productions,Nintendo,9.5,8,2013
188,Tomb Raider (2013),Shooter,T,Wii,Nintendo Software Technology Corporation,Nintendo,6.9,8.8,2007
189,The Witcher 3: Wild Hunt,Action-Adventure,M,XOne,syn Sophia,Rockstar Games,8,5.4,2018
190,Pokemon Stadium,Platform,E,WiiU,Team Meat,Nintendo,8.4,8.1,2012
191,Super Mario Advance 4: Super Mario Bros. 3,Shooter,T,PS4,BioWare / LucasArts,Activision,8,8,2014
192,Crash Bandicoot: The Wrath of Cortex,Adventure,E,3DS,IO Interactive,Nintendo,8.6,8,2013
193,Final Fantasy XIII,Fighting,T,PS,Sumo Digital,Namco,9.1,8,1996
194,Gran Turismo 5 Prologue,Action,E,PS4,Clap Hanz,Sony Computer Entertainment,8,7.4,2015
195,Super Smash Bros. for Wii U,Platform,E,GBA,Spark Unlimited,Nintendo,9.4,9.1,2002
196,Dr. Mario,Action,E10,Wii,Eidetic,LucasArts,8,4.5,2007
197,Pokemon Pinball,Simulation,E,DS,Visual Impact,Majesco,6.6,7.4,2006
198,Super Mario Party,Action-Adventure,E10,3DS,Hangar 13,Nintendo,9.5,9.1,2011
199,The Forest,Puzzle,E,NES,Unknown Worlds Entertainment,Nintendo,8,8,1989
200,Donkey Kong 64,Platform,E,GBA,Codemasters,Nintendo,8.2,8,2001
201,Just Dance 2,Action,M,PS3,Introversion Software,Ubisoft,9,8,2009
202,Tomb Raider II,Fighting,E,N64,Westwood Studios,Nintendo,8.4,8,1999
203,Madden NFL 2004,Action,M,X360,Telltale Games,Ubisoft,8.2,8,2007
204,Fallout: New Vegas,Action,T,PS3,2K Australia / 2K Boston,Warner Bros. Interactive,9.6,8,2011
205,Gran Turismo 6,Racing,E,X360,"Flagship Co., Ltd. / Nintendo EAD",Microsoft Game Studios,9.2,9.8,2009
206,Kingdom Hearts II,Role-Playing,E10,DS,Criterion Games,Nintendo,8.6,8,2010
207,God of War III,Role-Playing,T,PS,Virtual Toys / Lexis Numerique,Square,9.2,8,2000
208,Nintendo Land,Role-Playing,T,PS2,Camelot Software Planning,Square Enix,8.3,8,2003
209,Super Mario Land 3: Wario Land,Action,M,PC,Frozenbyte,Square Enix,8.8,7.4,2013
210,Donkey Kong Country 2: Diddy's Kong Quest,Role-Playing,M,PC,Toys for Bob,Warner Bros. Interactive Entertainment,8,9.1,2015
211,Medal of Honor: Rising Sun,Strategy,E,N64,NuFX,Nintendo,7.5,4.5,2000
212,Kirby's Dream Land,Misc,E10,XOne,Edge of Reality,Microsoft Studios,8,7.4,2014
213,Microsoft Flight Simulator,Shooter,M,PS3,Nicalis,Activision,8.4,9.1,2008
214,Guitar Hero II,Platform,E,GBA,Ghost Games,Nintendo,9.2,8,2003
215,Resident Evil 5,Platform,E,PS2,Max Design,Universal Interactive,6.9,8,2001
216,Fable III,Role-Playing,M,PS4,Probe Entertainment Limited,Warner Bros. Interactive Entertainment,8,8,2015
217,Mario & Sonic at the Olympic Games,Role-Playing,T,PS3,Ensemble Studios,Square Enix,8,9.2,2010
218,Grand Theft Auto: Vice City Stories,Racing,E,PS3,DreamWorks Interactive,Sony Computer Entertainment,8.3,8,2008
219,FIFA Soccer 11,Fighting,E10,WiiU,DC Studios,Nintendo,9.2,8,2014
220,Super Mario Bros. Deluxe,Puzzle,E,GB,Slightly Mad Studios,Nintendo,8,7.4,1990
221,Final Fantasy XV,Action-Adventure,M,X360,Angel Studios,Ubisoft,8,9.1,2012
222,Tony Hawk's Pro Skater,Misc,E,GBC,SCEE Cambridge,Nintendo,8.7,4.5,1999
223,Warzone 2100,Action,M,X360,Ubisoft Milan,Ubisoft,9.1,7.4,2009
224,Spyro the Dragon,Party,E,NS,Dennaton Games,Nintendo,7.3,9.1,2018
225,Cities: Skylines,Misc,E,PC,Supergiant Games,Endnight Games Ltd,8,8,2014
226,Gears of War,Platform,E,N64,Agenda,Nintendo,9.3,8,1999
227,Gears of War 2,Misc,E10,Wii,Hitmaker,Ubisoft,7.3,8,2010
228,Guild Wars 2,Adventure,T,PS,Raven Software,Eidos Interactive,7.6,7.4,1997
229,Halo 5: Guardians,Sports,E,PS2,Playground Games,EA Sports,9.5,9.1,2003
230,Halo: Combat Evolved,Shooter,M,XOne,Hitbox Team,Activision,8.3,4.5,2014
231,Guitar Hero III: Legends of Rock,Role-Playing,M,PC,JGI Entertainment,Bethesda Softworks,8.3,7.4,2010
232,Uncharted: Drake's Fortune,Racing,E,PS3,Midway,Sony Computer Entertainment America,8,9.1,2013
233,Resident Evil 2,Role-Playing,E10,PS2,Trendy Entertainment,Square Enix,8.3,8,2006
234,Fallout 3,Action,M,PS3,Black Rock Studio,Sony Computer Entertainment,9.2,9.4,2010
235,Splatoon,Party,E10,WiiU,SingleTrac,Nintendo,7.8,8,2012
236,Madden NFL 06,Platform,E,GB,Monster Games,Nintendo,7.9,7.4,1994
237,Stardew Valley,Platform,E,SNES,Rainbow Studios,Nintendo,9.3,9.1,1995
238,Dragon Quest VIII: Journey of the Cursed King,Shooter,T,PS2,Genius Sonority Inc.,Electronic Arts,5.9,4.5,2003
239,Monster Hunter Freedom 3,Shooter,M,XOne,Atlus Co.,Electronic Arts,8,7.4,2016
240,Diddy Kong Racing,Platform,E,GB,Capcom Production Studio 4,Nintendo,8,9.1,1992
241,Pokemon Mystery Dungeon: Explorers of Time / Darkness,Simulation,E,PC,TRY Corporation,Microsoft,7,8,1996
242,Crash Bandicoot N. Sane Trilogy,Misc,T,PS2,Bullfrog Productions,RedOctane,9.2,8,2006
243,Crash Team Racing,Sports,E,X360,Warner Bros. Interactive Entertainment,EA Sports,8,8,2012
244,The Legend of Zelda: Phantom Hourglass,Action,M,PS3,Aki Corp.,Capcom,8.6,8.8,2009
245,Driver 2,Role-Playing,M,X360,Heavy Iron Studios,Microsoft Game Studios,7.8,8,2010
246,The Simpsons: Hit & Run,Sports,E,DS,Backbone Entertainment,Sega,7,8,2008
247,World of Warcraft: Cataclysm,Action,M,PSP,United Front Games,Rockstar Games,8.4,7.4,2006
248,Tony Hawk's Pro Skater 2,Sports,E,PS3,TOSE,EA Sports,8.7,9.1,2010
249,Monster Hunter: World,Platform,E,GB,Yuke's Media Creations,Nintendo,9.7,4.5,1999
250,The Lord of the Rings: The Two Towers,Role-Playing,T,PS4,Headstrong Games,Square Enix,8.1,7.4,2016
251,Tomb Raider,Role-Playing,M,XOne,Bandai Namco Games / NOW Production,Bethesda Softworks,8.4,9.1,2015
252,God of War,Sports,T,PS,Illusion Softworks,Activision,9.6,8,1999
253,The Legend of Zelda: A Link to the Past,Strategy,T,PS,The Sims Studio,Eidos Interactive,8,8,1999
254,Forza Motorsport 4,Platform,E,PS,Idol Minds Digital Entertainment,Sony Computer Entertainment,8.7,8,1998
255,"Pokemon: Let's Go, Pikachu!",Simulation,E,PC,3909 LLC,Paradox Interactive,8,8,2015
256,BioShock Infinite,Shooter,M,X360,Matrix Software,Microsoft Game Studios,9.4,9.4,2006
257,Mario & Luigi: Bowser's Inside Story,Shooter,M,X360,Berserk Games,Microsoft Game Studios,9.4,9.5,2008
258,Mario & Sonic at the Olympic Winter Games,Role-Playing,T,PC,Kaiko,NCSoft,8,8,2012
259,Overwatch,Shooter,T,XOne,Blacklight Interactive,Microsoft Studios,8.6,8,2015
260,Madden NFL 2005,Shooter,M,XB,"HAL Laboratory, Flagship",Microsoft,9.5,8,2001
261,Star Wars Battlefront II (2017),Misc,T,PS2,Hello Games,RedOctane,8.2,8,2007
262,Dead Island,Action,T,PS3,UEP Systems,Sony Computer Entertainment,8.7,8.6,2007
263,Arma 2: Operation Arrowhead,Action,M,PS,Omega Force,Capcom,9.3,8,1998
264,ARK: Survival Evolved,Role-Playing,M,X360,EXAKT Entertainment,Bethesda Softworks,9,8.6,2008
265,Riven: The Sequel to Myst,Shooter,E10,WiiU,Dimps Corporation / Sonic Team,Nintendo,8.4,8,2015
266,StarCraft II: Wings of Liberty,Sports,E,PS2,Red Hook Studios,EA Sports,9.1,8,2005
267,Warcraft III: Reign of Chaos,Simulation,E10,PC,2K Marin,Chucklefish,9.2,7.4,2016
268,Pitfall!,Role-Playing,T,PS2,Artificial Mind and Movement,Square Enix,8.6,9.1,2005
269,Professor Layton and the Curious Village,Role-Playing,E,PSP,Beenox,Capcom,8,4.5,2010
270,Madden NFL 07,Racing,E,N64,BioWare Corp.,Nintendo,8.3,7.4,1997
271,Spider-Man: The Movie,Role-Playing,E,DS,Factor 5,Nintendo,6.4,9.1,2008
272,Nintendogs + cats,Shooter,M,XOne,5TH Cell,Activision,8,8,2018
273,The Elder Scrolls IV: Oblivion,Puzzle,E,NES,SIE London Studio,Nintendo,8,8,1990
274,The Legend of Zelda: The Wind Waker,Platform,E10,PS4,EKO Software,Activision,8,8,2017
275,Tony Hawk's Pro Skater 3,Action,M,PS3,Amaze Entertainment,Ubisoft,8.2,8.5,2007
276,Winning Eleven: Pro Evolution Soccer 2007,Shooter,M,XOne,Imagic,Activision,8,8,2016
277,Zelda II: The Adventure of Link,Racing,E,PS,Bizarre Creations,Sony Computer Entertainment,9.2,8,1999
278,Michael Jackson: The Experience,Action,E,DS,EA Seattle,LucasArts,7.8,7.4,2007
279,Tom Clancy's The Division,Adventure,E,DS,ParityBit,Nintendo,9.1,9.1,2007
280,Need for Speed: Most Wanted,Action,T,X360,Creative Assembly,Warner Bros. Interactive,9.5,8.5,2011
